rep,learning_rate,steps,classifier,feature_column,train_auc_precision_recall,train_recall,train_average_loss,train_accuracy_baseline,train_accuracy,train_auc,train_loss,train_label/mean,train_precision,train_global_step,train_prediction/mean,test_auc_precision_recall,test_recall,test_average_loss,test_accuracy_baseline,test_accuracy,test_auc,test_loss,test_label/mean,test_precision,test_global_step,test_prediction/mean
3,0.1,500,"dnn classifier with [4, 4] hidden_units",10 dim embedding column,0.10419713,0.0,0.21560049,0.94,0.94,0.7021277,0.21560049,0.06,0.0,500,0.051248387,0.2342615,0.0,0.2257244,0.934,0.934,0.73512435,0.2257244,0.066,0.0,500,0.047600776
3,0.1,500,"dnn classifier with [4, 4] hidden_units",100 dim embedding column,0.3053344,0.0,0.20426795,0.94,0.94,0.7971631,0.20426795,0.06,0.0,500,0.065032884,0.19073841,0.0,0.22623253,0.932,0.932,0.7582365,0.22623253,0.068,0.0,500,0.061838984
3,0.1,500,"dnn classifier with [10, 10] hidden_units",indicator column,0.33509976,0.18518518,0.2108897,0.946,0.918,0.8047923,0.2108897,0.054,0.20833333,500,0.05117269,0.3404486,0.08571429,0.25188068,0.93,0.904,0.88294935,0.25188068,0.07,0.15789473,500,0.04200656
3,0.1,500,"dnn classifier with [10, 10] hidden_units",2 dim embedding column,0.11320758,0.0,0.18381505,0.948,0.948,0.7755193,0.18381505,0.052,0.0,500,0.058445856,0.17053303,0.0,0.24131669,0.924,0.924,0.7739235,0.24131669,0.076,0.0,500,0.055992573
3,0.1,500,"dnn classifier with [10, 10] hidden_units",4 dim embedding column,0.109251305,0.0,0.1771617,0.954,0.954,0.7163887,0.1771617,0.046,0.0,500,0.046590224,0.25889605,0.0,0.25907388,0.924,0.924,0.6947483,0.25907388,0.076,0.0,500,0.04576479
3,0.1,500,"dnn classifier with [10, 10] hidden_units",10 dim embedding column,0.19172066,0.0,0.23639207,0.93,0.93,0.7483257,0.23639207,0.07,0.0,500,0.0865987,0.123474054,0.0,0.25657865,0.92,0.92,0.72559786,0.25657865,0.08,0.0,500,0.08481306
3,0.1,500,"dnn classifier with [10, 10] hidden_units",100 dim embedding column,0.16883257,0.0,0.20553583,0.944,0.944,0.8044038,0.20553583,0.056,0.0,500,0.075057834,0.20870832,0.0,0.23498465,0.93,0.93,0.8341936,0.23498465,0.07,0.0,500,0.071855344
3,0.1,500,"dnn classifier with [20, 20] hidden_units",indicator column,0.6098939,0.0,0.25239822,0.934,0.934,0.8482902,0.25239822,0.066,0.0,500,0.0085549485,0.5943519,0.0,0.2968306,0.928,0.928,0.78214794,0.2968306,0.072,0.0,500,0.007369911
3,0.1,500,"dnn classifier with [20, 20] hidden_units",2 dim embedding column,0.08855909,0.0,0.2227777,0.94,0.94,0.5841844,0.2227777,0.06,0.0,500,0.07317123,0.07645276,0.0,0.2542161,0.928,0.928,0.5628293,0.2542161,0.072,0.0,500,0.0710004
3,0.1,500,"dnn classifier with [20, 20] hidden_units",4 dim embedding column,0.12807785,0.0,0.19909225,0.946,0.946,0.6986532,0.19909225,0.054,0.0,500,0.06055122,0.3018424,0.0,0.23816451,0.926,0.926,0.8240325,0.23816451,0.074,0.0,500,0.06102232
3,0.1,500,"dnn classifier with [20, 20] hidden_units",10 dim embedding column,0.20877385,0.0,0.25979427,0.93,0.93,0.75978494,0.25979427,0.07,0.0,500,0.02959865,0.25140876,0.0,0.28383774,0.922,0.922,0.75076485,0.28383774,0.078,0.0,500,0.02841675
3,0.1,500,"dnn classifier with [20, 20] hidden_units",100 dim embedding column,0.19889838,0.0,0.15589333,0.96,0.96,0.81890625,0.15589333,0.04,0.0,500,0.07441595,0.38074607,0.0,0.22821663,0.922,0.922,0.8272151,0.22821663,0.078,0.0,500,0.07386062
3,0.1,1000,linear classifier,categorical column with vocabulary list,0.718876,0.29090908,0.14202367,0.945,0.961,0.9545647,0.14202367,0.055,1.0,1000,0.021550521,0.66319084,0.42105263,0.19101577,0.924,0.956,0.8835441,0.19101577,0.076,1.0,1000,0.03869989
3,0.1,1000,"dnn classifier with [4, 4] hidden_units",indicator column,0.6090635,0.05970149,0.1867052,0.93299997,0.934,0.9117355,0.1867052,0.067,0.5714286,1000,0.02029093,0.53532016,0.025974026,0.22061427,0.923,0.922,0.88893497,0.22061427,0.077,0.4,1000,0.023401482
3,0.1,1000,"dnn classifier with [4, 4] hidden_units",2 dim embedding column,0.20873578,0.0,0.21795622,0.935,0.935,0.73624027,0.21795622,0.065,0.0,1000,0.08148565,0.50903416,0.0,0.23151898,0.919,0.919,0.84660596,0.23151898,0.081,0.0,1000,0.080854766
